FranchiseId,TeamNumber,TeamSize,DriversCount,AvgAvailMon,AvgAvailTue,AvgAvailWed,AvgAvailThu,AvgAvailFri,AvgAvailSat,AvgAvailSun,AvgTotalAvailDays
372,0,57,0,0.561,0.649,0.649,0.649,0.544,0.561,0.351,3.9649122807017543
372,1,222,0,1.0,1.0,0.788,0.788,0.788,1.0,0.0,5.364864864864865
372,2,218,25,1.0,1.0,1.0,1.0,0.55,1.0,0.0,5.5504587155963305
372,3,256,24,1.0,0.996,0.973,0.973,0.969,0.996,0.539,6.4453125
372,4,245,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
372,5,248,28,1.0,1.0,0.988,0.988,0.988,1.0,0.0,5.963709677419355
372,6,257,32,1.0,1.0,1.0,1.0,1.0,1.0,0.537,6.536964980544747
372,7,245,30,1.0,0.996,0.988,0.988,0.984,0.996,0.0,5.951020408163266
372,8,182,28,0.692,0.885,0.885,0.885,0.066,0.577,0.0,3.989010989010989
372,9,229,26,1.0,1.0,1.0,1.0,1.0,1.0,0.004,6.004366812227074
372,10,240,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
372,11,234,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
372,12,5,2,1.0,1.0,0.8,0.8,0.8,1.0,0.0,5.4
372,13,2,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
372,15,5,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
372,16,211,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
